WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
91.502808,91.591823,91.488572,88.603751,88.634573,88.587155,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483232,91.549295,91.448987,91.465927,91.320731,91.543397,5044.268330,5044.073746,5044.573746,1,0
87.074163,87.290196,87.017004,92.930631,92.957426,92.903980,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.501503,86.696819,86.468575,86.646782,86.910021,86.664397,5044.892635,5044.703746,5045.163746,0,1
91.524798,91.591823,91.400894,88.603710,88.632332,88.581009,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.482303,91.552117,91.446897,91.540618,91.541266,91.543397,5044.650482,5044.373746,5044.803746,0,0
87.203051,87.376229,87.104682,92.930475,92.948772,92.905520,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.498253,86.684165,86.476775,86.731008,87.020289,86.664397,5044.562566,5044.333746,5044.853746,0,1
91.274351,91.333725,91.225539,88.603774,88.631230,88.581563,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483002,91.547907,91.447704,91.317340,91.320731,91.316467,5044.285552,5043.953746,5044.683746,0,0
91.588937,91.591823,91.576250,88.603400,88.632419,88.586145,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.483180,91.550868,91.444996,91.484997,91.430998,91.429932,4991.470760,4983.533746,4998.283746,0,0
91.312223,91.419757,91.225539,88.603316,88.633137,88.585850,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.482428,91.554616,91.441290,91.160808,91.210463,91.203002,5043.446802,5042.813746,5043.813746,0,0
87.221377,87.376229,87.192360,92.930494,92.963529,92.898770,92.930550,92.934958,92.918340,87.957784,88.105276,87.929657,87.918889,88.074764,87.894895,87.643984,87.792163,87.572118,5042.501732,5041.293746,5043.953746,0,0
91.286568,91.333725,91.225539,88.603646,88.627615,88.589187,88.597187,88.598325,88.595852,91.467674,91.527940,91.439629,91.481765,91.546566,91.449842,91.477052,91.430998,91.543397,5045.297427,5044.993746,5045.573746,1,0
87.044842,87.204164,87.017004,92.930385,92.956126,92.903906,92.930550,92.934958,92.918340,86.453545,86.638420,86.425383,86.500436,86.689698,86.483251,86.502168,86.799753,86.437467,5043.591038,5043.363746,5043.873746,0,1
