WS_001_FLOW_MEAN,WS_001_FLOW_MIN,WS_001_FLOW_MAX,WS_001_CONC_MEAN,WS_001_CONC_MIN,WS_001_CONC_MAX,DMW_FLOW_MEAN,DMW_FLOW_MIN,DMW_FLOW_MAX,ALK_FLOW_MEAN,ALK_FLOW_MIN,ALK_FLOW_MAX,WS_002_FLOW_MEAN,WS_002_FLOW_MIN,WS_002_FLOW_MAX,WS_002_CONC_MEAN,WS_002_CONC_MIN,WS_002_CONC_MAX,RPM_MEAN,RPM_MIN,RPM_MAX,PLANT_A,BAD_YIELD
91.793571,91.84992,91.75160600000001,30.000019,29.9534,30.0663,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483544,91.545594,91.455496,53.770832999999996,53.0,55.0,5001.609861,4998.02,5005.8,0,GOOD
87.272688,87.462261,87.19236,62.999642,62.8544,63.2005,92.682929,92.68715,92.67134,87.957784,88.105276,87.92965699999999,87.918717,88.06545600000001,87.890828,20.0,20.0,20.0,5010.972986,5010.75,5011.3,1,GOOD
91.442945,91.591823,91.400894,30.001285,29.9515,30.0465,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483405,91.553135,91.443143,52.479167000000004,52.0,54.0,5010.502431,5010.24,5010.78,1,GOOD
91.459438,91.247692,91.400894,30.000051000000003,29.7724,30.1966,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48193,91.54961899999999,91.449795,52.5625,50.0,53.0,5009.548681,5008.9,5010.06,1,GOOD
91.555341,91.591823,91.48857199999999,30.003946999999997,29.9212,30.0887,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.486352,91.525885,91.47231500000001,52.4375,51.0,53.0,5006.4206939999995,5003.92,5008.79,1,GOOD
91.447221,91.333725,91.48857199999999,30.001941,29.9173,30.0898,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48505899999999,91.53661899999999,91.457064,51.631944,51.0,52.0,5007.883403,5006.14,5009.12,0,GOOD
87.28490500000001,87.37622900000001,87.630749,64.99770500000001,64.3998,65.7062,92.93055,92.934958,92.91834,86.568453,86.63842,86.926807,86.60734000000001,86.684438,86.926765,11.548611,10.0,14.0,5010.434167,5010.15,5010.82,0,BAD
91.493034,91.50579,91.48857199999999,29.999633000000003,29.9288,30.066,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.487307,91.548277,91.45701700000001,53.013889,53.0,54.0,5009.129583,5007.59,5010.42,0,GOOD
87.160292,87.290196,87.104682,65.000221,64.8098,65.1602,92.93055,92.934958,92.91834,86.45354499999999,86.63842,86.425383,86.498442,86.70819499999999,86.447907,8.958333,8.0,9.0,5008.608819,5007.25,5009.92,0,BAD
91.541291,91.591823,91.48857199999999,29.999888000000002,29.9509,30.0595,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48486,91.554523,91.455924,51.666667,51.0,52.0,5007.672153,5004.72,5009.03,1,GOOD
90.95106899999999,87.462261,91.400894,29.441176000000002,27.0,30.0,88.597187,88.598325,88.59585200000001,90.848282,87.127372,91.43962900000001,90.872587,87.160635,91.446279,50.588235,22.0,56.0,4985.364412,4633.09,5007.92,0,GOOD
87.248254,87.462261,87.19236,63.000006000000006,62.8987,63.0954,92.682929,92.68715,92.67134,87.957784,88.105276,87.92965699999999,87.920507,88.089884,87.876099,21.027778,21.0,22.0,5009.990208,5009.01,5010.63,0,BAD
91.192497,91.333725,91.137861,29.999756,29.9322,30.0793,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.484297,91.549573,91.443618,51.965278000000005,51.0,53.0,5010.8154859999995,5010.39,5011.23,0,GOOD
91.584661,91.591823,91.57625,29.998796999999996,29.9295,30.0778,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.48296500000001,91.548277,91.450365,52.583332999999996,52.0,53.0,5006.485694,5002.77,5009.24,1,GOOD
91.628642,91.67785500000001,91.57625,30.000047,29.9302,30.0587,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.483643,91.554061,91.46015200000001,52.701389,52.0,53.0,5005.617569,5002.15,5008.03,1,GOOD
91.507694,91.50579,91.400894,30.000133,29.9389,30.05,88.597187,88.598325,88.59585200000001,91.467674,91.52794,91.43962900000001,91.47948199999999,91.538377,91.447467,53.979167000000004,53.0,54.0,5009.828818999999,5009.59,5010.19,0,GOOD
